Name,Works,Words
A. E. Baconsky,124,4256
Adrian Maniu,24,1359
Adrian Păunescu,845,17049
Agatha Bacovia,104,2702
Al. O. Teodoreanu,38,1249
Alecu Donici,71,3306
Alecu Russo,1,275
Alexandru Alexianu,11,817
Alexandru Andrieş,48,1628
Alexandru Andriţoiu,22,1224
Alexandru Bogdanovici,5,628
Alexandru Busuioceanu,10,643
Alexandru Colorian,10,835
Alexandru Hrisoverghi,2,369
Alexandru Lungu,29,1545
Alexandru Macedonski,214,8046
Alexandru Philippide,45,3269
Alexandru T. Stamatiad,17,1238
Alexandru Vlahuţă,93,5826
Alexei Mateevici,44,3393
Alice Călugăru,15,1728
Ana Blandiana,362,6813
Ancelin Roseti,34,2520
Andrei Ciurunga,27,1460
Andrei Mureşanu,10,1154
Anghel Dumbrăveanu,27,1161
Anonim,8,1031
Anton Pann,32,2193
Ara Alexandru Șișmanian,71,5748
Aron Cotruș,25,1437
Arsenie Boca,1,142
Artur Enăşescu,9,943
Aurel Dumitrașcu,25,1008
Aurel Pastramagiu,10,574
Aurel Rău,56,1632
Benedict Corlaciu,15,950
Benjamin Fondane,35,2207
Bogdan Petriceicu Haşdeu,32,3623
Calistrat Hogaș,1,49
Camil Baltazar,15,1000
Camil Petrescu,20,1797
Camil Poenaru,5,179
Carmen Sylva,22,1072
Cassian Maria Spiridon,114,3352
Cezar Baltag,52,1923
Cezar Bolliac,30,4530
Cezar Ivănescu,35,1580
Christian W. Schenk,249,5692
Cincinat Pavelescu,113,3804
Claudia Millian Minulescu,8,480
Cleopatra Lorințiu,1,88
Constantin Berariu,3,214
Constantin Michael-Titus,43,1907
Constantin Mille,8,657
Constantin Negruzzi,2,185
Constantin Noica,6,889
Constantin Oprişan,5,2105
Constanţa Buzea,149,4047
Corneliu Coposu,4,207
Corneliu Vadim Tudor,74,4881
Costache Conachi,15,2046
Costache Ioanid,102,4954
Dan Botta,29,1406
Dan Deşliu,11,735
Dan Rotaru,31,1209
Daniel Drăgan,7,287
Daniel Turcea,31,1193
Darie Novăceanu,0,0
Demostene Botez,24,1072
Dimitrie Anghel,55,2773
Dimitrie Bolintineanu,52,3904
Dimitrie Ciurezu,5,710
Dimitrie Gusti,1,410
Dimitrie Stelaru,27,1359
Dinu Flămând,22,1581
Dominic Stanca,13,564
Dosoftei,15,1522
Duiliu Zamfirescu,52,2736
Dumitru Corbea,12,536
Dumitru Iacobescu,16,760
Dumitru Matcovschi,64,2678
Dumitru Pricop,4,218
Dumitru Theodor Neculuță,1,341
Dumitru Țiganiuc,4,366
Edgar Lee Masters,5,324
Elena Armenescu,17,2041
Elena Farago,49,1886
Elena Liliana Popescu,11,437
Elena Văcărescu,8,492
Emil Botta,47,1913
